global_step=10208, episodic_ingame_score=0
global_step=10224, episodic_ingame_score=0
global_step=10240, episodic_ingame_score=0
global_step=10256, episodic_ingame_score=0
global_step=10272, episodic_ingame_score=0
global_step=10288, episodic_ingame_score=0
global_step=10304, episodic_ingame_score=0
global_step=10320, episodic_ingame_score=0
global_step=10336, episodic_ingame_score=0
global_step=10352, episodic_ingame_score=0
global_step=10368, episodic_ingame_score=0
global_step=10384, episodic_ingame_score=0
global_step=10400, episodic_ingame_score=0
global_step=10416, episodic_ingame_score=0
global_step=10432, episodic_ingame_score=0
global_step=10448, episodic_ingame_score=0
global_step=10464, episodic_ingame_score=0
global_step=10480, episodic_ingame_score=0
global_step=10496, episodic_ingame_score=0
global_step=10512, episodic_ingame_score=0
global_step=10528, episodic_ingame_score=0
global_step=10544, episodic_ingame_score=0
global_step=10560, episodic_ingame_score=0
global_step=10576, episodic_ingame_score=0
global_step=10592, episodic_ingame_score=0
global_step=10608, episodic_ingame_score=0
global_step=10624, episodic_ingame_score=0
global_step=10640, episodic_ingame_score=0
global_step=10656, episodic_ingame_score=0
global_step=10672, episodic_ingame_score=0
global_step=10688, episodic_ingame_score=0
global_step=10704, episodic_ingame_score=0
global_step=10720, episodic_ingame_score=0
global_step=10736, episodic_ingame_score=0
global_step=10752, episodic_ingame_score=0
global_step=10768, episodic_ingame_score=0
global_step=10784, episodic_ingame_score=0
global_step=10800, episodic_ingame_score=0
global_step=10816, episodic_ingame_score=0
global_step=10832, episodic_ingame_score=0
global_step=10848, episodic_ingame_score=0
global_step=10864, episodic_ingame_score=0
global_step=10880, episodic_ingame_score=0
global_step=10896, episodic_ingame_score=0
global_step=10912, episodic_ingame_score=0
global_step=10928, episodic_ingame_score=0
global_step=10944, episodic_ingame_score=0
global_step=10960, episodic_ingame_score=0
global_step=10976, episodic_ingame_score=0
global_step=10992, episodic_ingame_score=0
global_step=11008, episodic_ingame_score=0
global_step=11024, episodic_ingame_score=0
global_step=11040, episodic_ingame_score=0
global_step=11056, episodic_ingame_score=0
global_step=11072, episodic_ingame_score=0
global_step=11088, episodic_ingame_score=0
global_step=11104, episodic_ingame_score=0
global_step=11120, episodic_ingame_score=0
global_step=11136, episodic_ingame_score=0
global_step=11152, episodic_ingame_score=0
global_step=11168, episodic_ingame_score=0
global_step=11184, episodic_ingame_score=0
global_step=11200, episodic_ingame_score=0
global_step=11216, episodic_ingame_score=0
global_step=11232, episodic_ingame_score=0
global_step=11248, episodic_ingame_score=0
global_step=11264, episodic_ingame_score=0
global_step=11280, episodic_ingame_score=0
global_step=11296, episodic_ingame_score=0
global_step=11312, episodic_ingame_score=0
global_step=11328, episodic_ingame_score=0
global_step=11344, episodic_ingame_score=0
global_step=11360, episodic_ingame_score=0
global_step=11376, episodic_ingame_score=0
global_step=11392, episodic_ingame_score=0
global_step=11408, episodic_ingame_score=0
global_step=11424, episodic_ingame_score=0
global_step=11440, episodic_ingame_score=0
global_step=11456, episodic_ingame_score=0
global_step=11472, episodic_ingame_score=0
global_step=11488, episodic_ingame_score=0
global_step=11504, episodic_ingame_score=0
global_step=11520, episodic_ingame_score=0
global_step=11536, episodic_ingame_score=0
global_step=11552, episodic_ingame_score=0
global_step=11568, episodic_ingame_score=0
global_step=11584, episodic_ingame_score=0
global_step=11600, episodic_ingame_score=0
global_step=11616, episodic_ingame_score=0
global_step=11632, episodic_ingame_score=0
global_step=11648, episodic_ingame_score=0
global_step=11664, episodic_ingame_score=0
global_step=11680, episodic_ingame_score=0
global_step=11696, episodic_ingame_score=0
global_step=11712, episodic_ingame_score=0
global_step=11728, episodic_ingame_score=0
global_step=11744, episodic_ingame_score=0
global_step=11760, episodic_ingame_score=0
global_step=11776, episodic_ingame_score=0
global_step=11792, episodic_ingame_score=0
global_step=11808, episodic_ingame_score=0
global_step=11824, episodic_ingame_score=0
global_step=11840, episodic_ingame_score=0
global_step=11856, episodic_ingame_score=0
global_step=11872, episodic_ingame_score=0
global_step=11888, episodic_ingame_score=0
global_step=11904, episodic_ingame_score=0
global_step=11920, episodic_ingame_score=0
global_step=11936, episodic_ingame_score=0
global_step=11952, episodic_ingame_score=0
global_step=11968, episodic_ingame_score=0
global_step=11984, episodic_ingame_score=0
global_step=12000, episodic_ingame_score=0
global_step=12016, episodic_ingame_score=0
global_step=12032, episodic_ingame_score=0
global_step=12048, episodic_ingame_score=0
global_step=12064, episodic_ingame_score=0
global_step=12080, episodic_ingame_score=0
global_step=12096, episodic_ingame_score=0
global_step=12112, episodic_ingame_score=0
global_step=12128, episodic_ingame_score=0
global_step=12144, episodic_ingame_score=0
global_step=12160, episodic_ingame_score=0
global_step=12176, episodic_ingame_score=0
global_step=12192, episodic_ingame_score=0
global_step=12208, episodic_ingame_score=0
global_step=12224, episodic_ingame_score=0
global_step=12240, episodic_ingame_score=0
global_step=12256, episodic_ingame_score=0
global_step=12272, episodic_ingame_score=0
global_step=12288, episodic_ingame_score=0
global_step=12304, episodic_ingame_score=0
global_step=12320, episodic_ingame_score=0
global_step=12336, episodic_ingame_score=0
global_step=12352, episodic_ingame_score=0
global_step=12368, episodic_ingame_score=0
global_step=12384, episodic_ingame_score=0
global_step=12400, episodic_ingame_score=0
global_step=12416, episodic_ingame_score=0
global_step=12432, episodic_ingame_score=0
global_step=12448, episodic_ingame_score=0
global_step=12464, episodic_ingame_score=0
global_step=12480, episodic_ingame_score=0
global_step=12496, episodic_ingame_score=0
global_step=12512, episodic_ingame_score=0
global_step=12528, episodic_ingame_score=0
global_step=12544, episodic_ingame_score=0
global_step=12560, episodic_ingame_score=0
global_step=12576, episodic_ingame_score=0
global_step=12592, episodic_ingame_score=0
global_step=12608, episodic_ingame_score=0
global_step=12624, episodic_ingame_score=0
global_step=12640, episodic_ingame_score=0
global_step=12656, episodic_ingame_score=0
global_step=12672, episodic_ingame_score=0
global_step=12688, episodic_ingame_score=0
global_step=12704, episodic_ingame_score=0
global_step=12720, episodic_ingame_score=0
global_step=12736, episodic_ingame_score=0
global_step=12752, episodic_ingame_score=0
global_step=12768, episodic_ingame_score=0
global_step=12784, episodic_ingame_score=0
global_step=12800, episodic_ingame_score=0
global_step=12816, episodic_ingame_score=0
global_step=12832, episodic_ingame_score=0
global_step=12848, episodic_ingame_score=0
global_step=12864, episodic_ingame_score=0
global_step=12880, episodic_ingame_score=0
global_step=12896, episodic_ingame_score=0
global_step=12912, episodic_ingame_score=0
global_step=12928, episodic_ingame_score=0
global_step=12944, episodic_ingame_score=0
global_step=12960, episodic_ingame_score=0
global_step=12976, episodic_ingame_score=0
global_step=12992, episodic_ingame_score=0
global_step=13008, episodic_ingame_score=0
global_step=13024, episodic_ingame_score=0
global_step=13040, episodic_ingame_score=0
global_step=13056, episodic_ingame_score=0
global_step=13072, episodic_ingame_score=0
global_step=13088, episodic_ingame_score=0
global_step=13104, episodic_ingame_score=0
global_step=13120, episodic_ingame_score=0
global_step=13136, episodic_ingame_score=0
global_step=13152, episodic_ingame_score=0
global_step=13168, episodic_ingame_score=0
global_step=13184, episodic_ingame_score=0
global_step=13200, episodic_ingame_score=0
global_step=13216, episodic_ingame_score=0
global_step=13232, episodic_ingame_score=0
global_step=13248, episodic_ingame_score=0
global_step=13264, episodic_ingame_score=0
